"","82-breast-1","82-brain-1","82-brain-2"
"AKAP7",0,13,18
"AKAP8",1,57,90
"AKAP8L",1,41,59
"AKAP9",18,536,578
"AKD1",1,42,44
"AKIP1",2,33,33
"AKIRIN1",0,8,7
"AKIRIN2",1,21,24
"AKIRIN2-AS1",0,0,0
"AKNA",0,5,1
"AKNAD1",0,1,0
"AKR1A1",18,366,466
"AKR1B1",0,0,0
"AKR1B10",1,92,97
"AKR1B15",0,5,2
"AKR1C1",0,6,5
"AKR1C2",2,12,9
"AKR1C3",8,17,27
"AKR1C4",0,0,0
"AKR1CL1",0,0,0
"AKR1D1",0,2,0
"AKR1E2",0,0,0
"AKR7A2",0,20,14
"AKR7A2P1",0,0,0
"AKR7A3",0,21,22
"AKR7L",0,3,2
"AKT1",1,200,153
"AKT1S1",1,9,14
"AKT2",3,14,22
"AKT3",0,0,0
"AKTIP",1,62,153
"ALAD",3,137,262
"ALAS1",4,94,172
"ALAS2",0,0,0
"ALB",0,13,8
"ALCAM",21,224,364
"ALDH16A1",1,59,110
"ALDH18A1",9,152,382
"ALDH1A1",0,0,0
"ALDH1A2",0,0,0
"ALDH1A3",19,45,117
"ALDH1B1",0,17,32
"ALDH1L1",1,3,1
"ALDH1L2",0,0,2
"ALDH2",3,315,543
"ALDH3A1",0,0,0
"ALDH3A2",0,20,36
"ALDH3B1",8,72,230
"ALDH3B2",7,535,1108
"ALDH4A1",1,155,311
"ALDH5A1",0,4,3
"ALDH6A1",0,140,259
"ALDH7A1",2,156,200
"ALDH8A1",0,1,0
"ALDH9A1",4,218,393
"ALDOA",122,8455,11051
"ALDOB",0,0,0
"ALDOC",0,15,29
"ALG1",5,123,221
"ALG10",0,5,10
"ALG10B",2,10,11
"ALG11",3,42,87
"ALG12",4,58,118
"ALG13",0,65,101
"ALG14",2,44,72
"ALG1L",2,14,23
"ALG1L2",0,1,0
"ALG2",1,28,48
"ALG3",9,201,364
"ALG5",13,231,304
"ALG6",1,57,100
"ALG8",3,185,287
"ALG9",2,55,85
"ALK",0,0,0
"ALKBH1",0,36,72
"ALKBH2",1,33,46
"ALKBH3",0,33,55
"ALKBH4",3,56,74
"ALKBH5",0,61,51
"ALKBH6",0,0,2
"ALKBH7",2,96,131
"ALKBH8",0,7,12
"ALLC",0,0,0
"ALMS1",1,26,13
"ALMS1P",0,0,0
"ALOX12",0,1,1
"ALOX12B",0,0,0
"ALOX12P2",0,0,0
"ALOX15",1,3,11
"ALOX15B",1,272,313
"ALOX15P1",0,0,0
"ALOX5",1,0,2
"ALOX5AP",0,0,0
"ALOXE3",0,0,0
"ALPI",0,0,0
"ALPK1",1,20,50
"ALPK2",0,0,0
"ALPK3",0,25,59
"ALPL",0,0,0
"ALPP",0,0,0
"ALPPL2",0,1,0
"ALS2",2,16,31
"ALS2CL",3,17,39
"ALS2CR11",0,0,1
"ALS2CR12",0,1,1
"ALS2CR8",0,19,16
"ALX1",0,0,0
"ALX3",0,1,0
"ALX4",0,0,0
"ALYREF",0,13,10
"AMACR",0,9,3
"AMBN",0,0,0
"AMBP",0,5,7
"AMBRA1",0,15,16
"AMD1",5,93,165
"AMDHD1",0,0,0
"AMDHD2",0,11,23
"AMELX",0,0,0
"AMELY",0,0,0
"AMFR",0,22,22
"AMH",0,0,0
"AMHR2",0,0,0
"AMICA1",0,0,0
"AMIGO1",0,0,1
"AMIGO2",1,0,6
"AMIGO3",0,0,6
"AMMECR1",1,27,45
"AMMECR1L",0,15,35
"AMN",0,0,0
"AMN1",2,11,13
"AMOT",2,81,111
"AMOTL1",0,8,10
"AMOTL2",4,53,135
"AMPD1",0,0,0
"AMPD2",0,24,51
"AMPD3",0,7,8
"AMPH",0,0,0
"AMT",0,1,2
"AMTN",0,1,7
"AMY1A",0,0,0
"AMY1B",0,0,0
"AMY1C",0,0,0
"AMY2A",3,0,1
"AMY2B",0,1,0
"AMZ1",0,1,2
"AMZ2",19,321,441
"AMZ2P1",0,9,12
"ANAPC1",0,48,55
"ANAPC10",1,37,31
"ANAPC11",7,523,535
"ANAPC13",9,275,314
"ANAPC16",16,311,320
"ANAPC2",0,14,9
"ANAPC4",4,38,72
"ANAPC5",3,263,443
"ANAPC7",4,129,208
"ANG",2,41,57
"ANGEL1",1,47,127
"ANGEL2",1,95,138
"ANGPT1",0,0,0
"ANGPT2",0,1,2
"ANGPT4",0,0,0
"ANGPTL1",0,1,0
"ANGPTL2",0,2,0
"ANGPTL3",0,0,0
"ANGPTL4",2,19,20
"ANGPTL5",0,0,0
"ANGPTL6",0,1,1
"ANGPTL7",0,0,0
"ANK1",0,0,0
"ANK2",0,8,1
"ANK3",3,101,134
"ANKAR",0,2,4
"ANKDD1A",0,0,1
"ANKFN1",0,0,0
